eprtr_activity,sector_description,Unit type split,% of technology in the process that uses substitutable fuel,epsilon ,epsilon source,technology split source,Weighted epsilon,Notes,References,
1(a),Petroleum Refineries,Process furnaces/heaters,76%,0.85,REF_BREF_2015,REF_BREF_2015,0.8275,,REF_BREF_2015,https://bureau-industrial-transformation.jrc.ec.europa.eu/sites/default/files/2019-11/REF_BREF_2015.pdf
1(a),Petroleum Refineries,Steam boilers,19%,0.85,REF_BREF_2015,REF_BREF_2015,,,PP_revised_BREF_2015,https://bureau-industrial-transformation.jrc.ec.europa.eu/sites/default/files/2019-11/PP_revised_BREF_2015.pdf
1(a),Petroleum Refineries,CHP steam turbines,5%,0.4,Saad/EPA,,,,JRC109279_Lvoc_bref2017,https://aida.ineris.fr/sites/default/files/documents-bref/JRC109279_Lvoc_bref2017.pdf
6(a),Pulp Production,lime kiln/support boilers,100%,0.85,PP_revised_BREF_2015,PP_revised_BREF_2015,0.85,"Don't need to consider recovery boilers because it uses black liquor which is would be burned anyways. Recycled mills vs kraft mills have similar epsilons around 0.8. In reality, only a small portion of demand can be electrified. ",Saad 2025,
4(a) ,Organic chemicals,Steam boilers,62%,0.85,REF_BREF_2015,id_direct 2024 set,0.7598,"The substitutable fuel uses these unit type percentages and applied with epsilon to get the heat demand at the end. This estimation removes the reducing agents, byproduct fuel from the input. The substitutable fuels mostly use steam boilers and to top off the process furnace. ",,
4(a) ,Organic chemicals,Process furnaces/heaters,21%,0.88,REF_BREF_2015,Assumption,,,,
4(a) ,Organic chemicals,CHP steam turbines,12%,0.4,Saad/EPA,Assumption (leftover),,,,
2(b),Iron & Steel (blast furnace/BOF),direct-fired furnace,100%,0.65,LCP BREF 2015,,,Natural gas only goes to furnaces.  All other technology use liquid fuel/byproduct gas. NEED TO REMOVE COAL FROM SUBSTITABLE FUEL. ,,
,,,,,,,,,,
,Fuel,TJ,Goes to,_,Heat TJ,,,,,
,Coal (71%),"22,661",Coal-fired boilers,0.83,"15,987",,,,,
,NatGas (24%),"7,642",Gas boilers / backup CHP,0.80 blended,"5,197",,,,,
,Lignite + Liquid (5%),"1,814",Aux boilers,0.84,"1,295",,,,,
,,,,,,,,,,
,,,,,,,,,,
Remaining ,,,,,,,,,,
1(b),,,,,,,,,,
1(d),,,,,,,,,,
2(e),,,,,,,,,,
3(a),,,,,,,,,,
3(c),,,,,,,,,,
3(e),,,,,,,,,,
4(b),,,,,,,,,,
4(b)(i),,,,,,,,,,
4(b)(ii),,,,,,,,,,
4(b)(iv),,,,,,,,,,
4(b)(v),,,,,,,,,,
4(c),,,,,,,,,,
5(b),,,,,,,,,,
6(b),,,,,,,,,,
8(b)(ii),,,,,,,,,,
